TITLE,DESCRIPTION,PRICE,SHIPPING LOCATION,SHIPPING COSTS,STATUS
DJI Phantom 4 Advanced GPS Drone with 4K 20MP HD Camera with Screen,"Model: DJI Phantom 4 Advanced with Screen
 
 1-inch 20MP sensor, 30-min flight time, forward obstacle avoidance, smart features and more. Advanced Aerial Imaging Technology.
 
 Features:
 
 Includes integrated tablet with 16GB of internal storage (with 9.5GB available), powered by Android, and a 1080p 5.","$1,499.00",,$86.95 shipping,102 watching
DJI Mavic Pro Fly More Combo Quadcopter Drone & 4K Gimbal-Stabilized 12MP Camera,,"$1,189.95",,$99.95 shipping,
DJI Mavic 2 Zoom - 2x Optical Zoom - FHD Video - Brand New!,"The Mavic 2 offers iconic Hasselblad image quality on the Pro and a high-performance zoom lens on the Zoom.
 
 2x Optical Zoom
 1/2.3"" CMOS Sensor
 48MP Super Resolution Photo
 4x Lossless Zoom FHD Video
 Dolly Zoom
 Hyperlapse.","$1,249.00",,$86.95 shipping,52 sold
Nano 8807W Foldable With Wifi FPV RC Camera 2.4G 6-Axis RC Quadcopter Drone Toys,"Specification:
 
 
 100% brand new with high quality 
 
 Optional Type: With Camera(30W) Wifi 
 
 Material: ABS   Electric Components 
 
 Color: Grey 
 
 Size(Folding): Approx.18x12.5x6cm(L*W*H) 
 
 Size(Unfolding): Approx.37x37x8cm(L*W*H) 
 
 Package Size: Approx.39x8.5x23.3cm(L*W*H) 
 
 Channel: 4 CH 
 
 Age: 14 or above 
 
 Battery: 900 mAh LIPO 
 
 Charging Time: Approx. 120 Minutes 
 
 Flying Time: Approx.13 Minutes 
 
 Signal: 2.4Ghz 
 
 Remote distance:Approx.
",$41.99,From China,Free shipping,Only 1 left!
ZEROTECH DOBBY SELFIE GPS DRONE+WIFI FPV+4K 1080P VIDEO+13MP CAMERA,ZEROTECH DOBBY introducing Video(EN) - YouTube. Dobby drone x 1. Dobby battery x 1. Video will open in a new window. High-Definition Video Capture. Type Of Battery LiPo 2S. Rated Energy 7.37Wh. Rated Capacity 970mAh.,$156.56,From Australia,$30.62 shipping,56 sold
17.5V 4A Car Charger Battery Charging Adapter for DJI Phantom 4 Pro 4 Pro+ Drone,"DIY Drone Parts. We are authorized distributor of DJI,Swellpro,Walkera,RadioLink Flysky etc. Input: 12V; Output: 17.5V 4A. Carry Case. We are behinde our products. We will reply you very quickly within 24 hours.",$14.10,,$1.99 shipping,731 sold
DJI Spark Fly More Combo - Sunrise Yellow Quadcopter Drone - 12MP 1080p Video,"Model: DJI Spark Fly More Combo - Sunrise Yellow. DJI Sunrise Yellow Spark Drone. This DJI COMBO Includes The Settings option in DJI Assistant 2 or DJI GO 4;. Spark is the first DJI drone to feature new TapFly submodes, Coordinate and Direction.",$549.00,,$86.95 shipping,
Yuneec Go3 Gimbal,"Comes with box never use just open to check the content
",$143.63,From Australia,$21.39 shipping,
SwellPro Splash Drone V3 Fisherman ,,"$1,329.05",,$111.70 shipping,Only 1 left!
Drone + 4 Battery RC Wifi FPV full HD 4k Camera Altitude Hold One Key Return,(2) Foldable Arm / Foldable Landing Gear;. -4 x Propeller Guide. -2 x Landing Gear. 5) One Key to Take Off/One Key Down/One Key to Stop;. 7) Ascend/Descend; Forward/ Backward；Turn Left/Right;Sideward Fly；Fine tuning;.,$60.00,From Morocco,Free shipping,17 watching
Fast-fold Landing Parking Apron Pad for DJI Mavic Air Pro Phantom 3 4 Pro Drone,"DIY Drone Parts. We are authorized distributor of DJI,Swellpro,Walkera,RadioLink Flysky etc. For all Drone. (Notice: Drone is not included in). 1 Landing Pad for Drones. High precision printing Outdoor Type Print Waterproof Sun-protection Not easy colour fading.",$15.80,,$1.20 shipping,74 sold
DJI Spark Fly More Combo - Meadow Green Quadcopter Drone - 12MP 1080p Video,"This DJI COMBO Includes The Settings option in DJI Assistant 2 or DJI GO 4;. Spark is the first DJI drone to feature new TapFly submodes, Coordinate and Direction. Before the update is complete, Spark will need to restart.",$549.00,,$86.95 shipping,118 sold
DJI Spark Fly More Combo - Alpine White Quadcopter Drone - 12MP 1080p Video,FLY MORE COMBO.,$549.00,,$99.00 shipping,
DJI Phantom 4 Advanced+ Quadcopter Drone with 4K60 Gimbal-Stabilized 20MP Camera,,"$1,459.95",,$99.95 shipping,
2.4G 4CH 6-Axis Gyro US HD RC Quadcopter Drone with WIFI Camera Drone FPV RTF,"Features: Foldable body, small size, easy to carry It has 2.0MP camera with take video and pictures 6-axis gyro with gyro calibration function Ascend,descend,forward,backward,turn left,turn right,hover,left sideward fly,right sideward fly, one key landing, 360-degree tumbler, etc.",$36.99,From China,$5.00 shipping,12 sold
DJI Inspire 2 Drone - Goes up to 58mph! - Comes with carrying case! - NEW,,"$2,999.99",,$86.95 shipping,292 sold
"DJI Mavic Pro Folding Drone - 4K Stabilized Camera, GPS",DJI Mavic Pro. 3 x 8330 Quick Release Folding Propellers for Mavic Drone. 16GB microSD Card.,$999.00,,$99.00 shipping,
Landing Skid Float kit Training Kit  Landing Water for DJI Mavic Pro Drone parts,1103074 Landing Skid Float kit Training Kit for DJI Mavic Pro Drone Landing on Water. Landing is much safer for yourDJI Mavic Pro /Platinum on water. DIY Drone Parts. Lightweight design won't bring drone heavy loading.,$23.99,,$3.00 shipping,97 sold
DJI Phantom 4 Advanced GPS Drone with 4K 20MP HD Camera - Brand New,Advanced Aerial Imaging Technology. Model: DJI Phantom 4 Advanced. It also allows you to capture still images while filming. The Phantom 4 Advanced inherits most of the functions of the Phantom 4 Pro.,$805.00,,$86.95 shipping,
Hover Drone 101 Wifi RTF 2.4 4CH US Helicopter Camera Drone with HD Camera FPV U,"Features:  -WIFI FPV with 2.0MP HD adjustable camera.  -With High Hold mode can set height.  -Headless mode,360 roll.  -6-Axis gyro quad-rotorcraft flight, strong stability,can easily implement various flight movements, stronger wind resistance, easier to control.  -The quadcopter can fly both indoor and outdoor.Including 4CH digital proportional RC system.  -Rechargeable high performance battery.  -Function:up/down,left/right sideward fight,forward/backward,turn left/right,with gyro/flash lights,A 360-degree 3D and special functions(continuous rolling)  Specifications: Item NO.: KY101 Remote control: 2.4GHz  Gyroscope: Six axis Channel : 4CH  C.",$41.54,From China,Free shipping,19 watching
1Set 1080P HD  100M Remote Control Underwater Drone Camera Undersea Detection 32,Material: PU.,"$2,861.99",,$278.78 shipping,7 watching
